Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -454.3301    -456.4949       2.1648   270.1
0.0500        -453.1422    -454.9462       1.8040   225.1
0.1000        -451.8826    -454.2110       2.3284   290.5
0.1500        -452.3676    -454.2462       1.8786   234.4
0.2000        -452.0022    -454.6609       2.6588   331.8
0.2500        -451.5363    -454.1588       2.6224   327.2
0.3000        -451.5680    -453.7967       2.2286   278.1
0.3500        -450.9734    -453.3036       2.3302   290.8
0.4000        -451.1175    -453.8867       2.7692   345.5
0.4500        -451.6271    -454.0080       2.3809   297.1
0.5000        -451.3606    -453.6598       2.2992   286.9
0.5500        -451.6296    -454.1309       2.5013   312.1
0.6000        -451.7749    -454.3448       2.5699   320.7
0.6500        -451.5312    -454.0438       2.5125   313.5
0.7000        -451.6862    -454.0386       2.3523   293.5
0.7500        -452.2559    -454.4946       2.2388   279.4
0.8000        -451.8568    -454.1470       2.2902   285.8
0.8500        -451.6839    -454.0732       2.3893   298.1
0.9000        -451.8208    -454.3002       2.4794   309.4
0.9500        -452.1056    -454.1515       2.0459   255.3
1.0000        -451.6996    -454.1346       2.4351   303.8
1.0500        -451.9880    -454.1431       2.1551   268.9
1.1000        -451.9182    -453.9211       2.0030   249.9
1.1500        -451.9530    -454.1356       2.1827   272.4
1.2000        -452.0322    -454.4177       2.3855   297.7
1.2500        -452.3083    -454.3287       2.0204   252.1
1.3000        -451.9815    -454.1895       2.2080   275.5
1.3500        -451.7228    -453.9917       2.2689   283.1
1.4000        -451.4821    -453.8978       2.4157   301.4
1.4500        -451.2319    -454.1166       2.8848   360.0
1.5000        -451.5698    -453.8044       2.2345   278.8
1.5500        -451.6825    -454.3008       2.6183   326.7
1.6000        -451.4793    -453.7321       2.2528   281.1
1.6500        -451.4439    -454.1402       2.6963   336.4
1.7000        -451.7078    -454.0826       2.3749   296.3
1.7500        -451.3935    -453.9694       2.5759   321.4
1.8000        -451.6402    -454.1792       2.5390   316.8
1.8500        -451.6867    -453.9708       2.2841   285.0
1.9000        -451.9472    -454.0847       2.1375   266.7
1.9500        -451.9232    -454.3680       2.4448   305.1
2.0000        -451.7784    -453.9976       2.2192   276.9
2.0500        -451.0777    -453.6262       2.5484   318.0
2.1000        -450.9958    -454.0359       3.0400   379.3
2.1500        -451.4526    -453.6851       2.2325   278.6
2.2000        -451.8677    -454.0179       2.1501   268.3
2.2500        -451.9220    -454.1330       2.2110   275.9
2.3000        -451.9255    -454.2663       2.3408   292.1
2.3500        -451.8277    -453.9648       2.1371   266.7
2.4000        -451.8080    -453.8463       2.0383   254.3
2.4500        -451.3906    -453.6965       2.3059   287.7
2.5000        -451.8851    -454.4413       2.5562   319.0
2.5500        -451.9928    -454.1982       2.2054   275.2
2.6000        -451.6561    -454.3498       2.6937   336.1
2.6500        -451.9343    -453.8685       1.9342   241.3
