#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      3.51e+01    3.42e+01      4.37e-01    4.28e-01      1.11e+00    1.08e+00    1.0e-03
      9      3.34e+01    3.28e+01      1.32e-01    1.30e-01      1.05e+00    1.04e+00    1.0e-03
     18      3.26e+01    3.05e+01      7.70e-02    7.71e-02      1.03e+00    9.66e-01    1.0e-03
     27      2.82e+01    3.00e+01      1.60e-02    1.56e-02      8.92e-01    9.49e-01    1.0e-03
     36      2.61e+01    2.90e+01      3.29e-02    3.68e-02      8.25e-01    9.17e-01    1.0e-03
     45      2.75e+01    2.85e+01      1.46e-01    1.43e-01      8.71e-01    9.01e-01    1.0e-03
     54      2.87e+01    2.78e+01      1.67e-01    1.71e-01      9.07e-01    8.79e-01    1.0e-03
     63      2.86e+01    2.60e+01      7.00e-02    7.38e-02      9.05e-01    8.23e-01    1.0e-03
     72      2.36e+01    2.47e+01      1.29e-01    1.24e-01      7.45e-01    7.82e-01    1.0e-03
     81      2.27e+01    2.29e+01      9.31e-02    9.84e-02      7.17e-01    7.23e-01    1.0e-03
     90      1.97e+01    2.10e+01      2.52e-01    2.54e-01      6.24e-01    6.62e-01    1.0e-03
     99      1.83e+01    1.89e+01      4.91e-01    4.89e-01      5.77e-01    5.96e-01    1.0e-03
    108      1.75e+01    1.59e+01      6.02e-02    5.25e-02      5.53e-01    5.03e-01    1.0e-03
    117      1.45e+01    1.44e+01      2.82e-01    2.87e-01      4.57e-01    4.55e-01    1.0e-03
    126      1.32e+01    1.33e+01      1.61e-03    8.03e-03      4.19e-01    4.21e-01    1.0e-03
    135      1.23e+01    1.26e+01      8.19e-02    7.85e-02      3.88e-01    3.98e-01    1.0e-03
    144      1.18e+01    1.19e+01      1.12e-01    1.13e-01      3.73e-01    3.76e-01    1.0e-03
    153      1.06e+01    1.10e+01      3.64e-02    3.59e-02      3.34e-01    3.48e-01    1.0e-03
    162      1.08e+01    1.05e+01      5.75e-02    5.33e-02      3.41e-01    3.31e-01    1.0e-03
    171      1.10e+01    1.01e+01      1.04e-01    1.03e-01      3.47e-01    3.19e-01    1.0e-03
    180      9.70e+00    9.52e+00      1.12e-01    1.12e-01      3.07e-01    3.01e-01    1.0e-03
    189      9.69e+00    9.26e+00      4.83e-02    4.46e-02      3.06e-01    2.93e-01    1.0e-03
    198      9.49e+00    9.00e+00      3.03e-02    2.89e-02      3.00e-01    2.85e-01    1.0e-03
    207      8.98e+00    8.89e+00      5.63e-02    5.77e-02      2.84e-01    2.81e-01    1.0e-03
