#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      3.38e+01    3.30e+01      2.48e-01    2.45e-01      1.07e+00    1.04e+00    1.0e-03
      9      3.17e+01    3.11e+01      3.95e-02    3.94e-02      1.00e+00    9.84e-01    1.0e-03
     18      2.78e+01    2.68e+01      9.70e-02    9.72e-02      8.79e-01    8.46e-01    1.0e-03
     27      2.58e+01    2.48e+01      8.71e-01    8.69e-01      8.17e-01    7.83e-01    1.0e-03
     36      2.51e+01    2.39e+01      7.22e-01    7.21e-01      7.94e-01    7.54e-01    1.0e-03
     45      2.43e+01    2.35e+01      4.82e-01    4.83e-01      7.68e-01    7.45e-01    1.0e-03
     54      2.39e+01    2.19e+01      2.65e-01    2.63e-01      7.54e-01    6.93e-01    1.0e-03
     63      2.23e+01    2.18e+01      6.29e-02    6.22e-02      7.05e-01    6.89e-01    1.0e-03
     72      2.16e+01    2.14e+01      1.05e-01    1.06e-01      6.83e-01    6.76e-01    1.0e-03
     81      2.10e+01    2.00e+01      2.38e-01    2.37e-01      6.64e-01    6.34e-01    1.0e-03
     90      1.98e+01    1.92e+01      3.27e-01    3.28e-01      6.25e-01    6.07e-01    1.0e-03
     99      1.82e+01    1.76e+01      4.26e-01    4.25e-01      5.76e-01    5.56e-01    1.0e-03
    108      1.57e+01    1.51e+01      2.96e-01    2.95e-01      4.97e-01    4.79e-01    1.0e-03
    117      1.31e+01    1.30e+01      2.63e-01    2.63e-01      4.16e-01    4.12e-01    1.0e-03
    126      1.18e+01    1.16e+01      2.28e-01    2.27e-01      3.74e-01    3.66e-01    1.0e-03
    135      1.10e+01    1.08e+01      1.20e-01    1.20e-01      3.48e-01    3.40e-01    1.0e-03
    144      1.00e+01    9.92e+00      3.38e-03    3.84e-03      3.17e-01    3.14e-01    1.0e-03
    153      9.78e+00    9.43e+00      1.09e-01    1.10e-01      3.09e-01    2.98e-01    1.0e-03
    162      9.41e+00    9.26e+00      3.66e-02    3.63e-02      2.98e-01    2.93e-01    1.0e-03
    171      9.32e+00    8.96e+00      4.87e-03    4.15e-03      2.95e-01    2.83e-01    1.0e-03
    180      8.48e+00    8.49e+00      4.42e-03    4.44e-03      2.68e-01    2.68e-01    1.0e-03
    189      8.43e+00    8.23e+00      1.42e-02    1.42e-02      2.66e-01    2.60e-01    1.0e-03
    198      8.09e+00    7.93e+00      4.56e-02    4.58e-02      2.56e-01    2.51e-01    1.0e-03
    207      7.89e+00    7.81e+00      5.20e-02    5.19e-02      2.49e-01    2.47e-01    1.0e-03
    216      7.59e+00    7.35e+00      1.42e-02    1.43e-02      2.40e-01    2.32e-01    1.0e-03
    225      7.59e+00    7.48e+00      4.21e-02    4.24e-02      2.40e-01    2.37e-01    1.0e-03
    234      7.52e+00    7.26e+00      2.47e-02    2.46e-02      2.38e-01    2.30e-01    1.0e-03
    243      7.02e+00    7.04e+00      2.35e-02    2.36e-02      2.22e-01    2.23e-01    1.0e-03
    252      7.04e+00    6.84e+00      1.02e-02    1.03e-02      2.23e-01    2.16e-01    1.0e-03
    261      6.76e+00    6.62e+00      9.58e-03    9.44e-03      2.14e-01    2.09e-01    1.0e-03
    270      6.75e+00    6.62e+00      2.01e-02    1.98e-02      2.13e-01    2.09e-01    1.0e-03
    279      6.62e+00    6.51e+00      1.43e-02    1.42e-02      2.09e-01    2.06e-01    1.0e-03
    288      6.63e+00    6.52e+00      3.32e-03    3.35e-03      2.10e-01    2.06e-01    1.0e-03
    297      6.31e+00    6.43e+00      1.20e-02    1.16e-02      2.00e-01    2.03e-01    1.0e-03
    306      6.22e+00    6.11e+00      1.35e-02    1.40e-02      1.97e-01    1.93e-01    1.0e-03
    315      6.32e+00    6.01e+00      2.31e-02    2.32e-02      2.00e-01    1.90e-01    1.0e-03
    324      6.35e+00    6.20e+00      3.04e-02    3.04e-02      2.01e-01    1.96e-01    1.0e-03
    333      6.10e+00    5.82e+00      7.63e-03    8.41e-03      1.93e-01    1.84e-01    1.0e-03
    342      5.92e+00    5.99e+00      7.32e-03    6.79e-03      1.87e-01    1.90e-01    1.0e-03
    351      6.09e+00    5.85e+00      6.53e-03    6.90e-03      1.92e-01    1.85e-01    1.0e-03
    360      6.04e+00    5.74e+00      1.44e-02    1.42e-02      1.91e-01    1.82e-01    1.0e-03
    369      5.81e+00    5.81e+00      2.79e-02    2.76e-02      1.84e-01    1.84e-01    1.0e-03
    378      5.53e+00    5.61e+00      1.69e-03    2.04e-03      1.75e-01    1.77e-01    1.0e-03
    387      5.66e+00    5.59e+00      1.53e-02    1.52e-02      1.79e-01    1.77e-01    1.0e-03
    396      5.54e+00    5.42e+00      8.28e-03    8.00e-03      1.75e-01    1.71e-01    1.0e-03
    405      5.50e+00    5.35e+00      1.39e-02    1.37e-02      1.74e-01    1.69e-01    1.0e-03
    414      5.49e+00    5.29e+00      1.81e-02    1.81e-02      1.74e-01    1.67e-01    1.0e-03
    423      5.18e+00    5.16e+00      5.89e-02    5.88e-02      1.64e-01    1.63e-01    1.0e-03
    432      5.17e+00    5.17e+00      3.79e-02    3.76e-02      1.63e-01    1.63e-01    1.0e-03
    441      5.41e+00    5.34e+00      1.46e-02    1.48e-02      1.71e-01    1.69e-01    1.0e-03
    450      5.70e+00    5.49e+00      4.20e-02    4.19e-02      1.80e-01    1.74e-01    1.0e-03
    459      5.14e+00    5.21e+00      9.70e-03    9.61e-03      1.62e-01    1.65e-01    1.0e-03
    468      5.15e+00    5.17e+00      2.87e-02    2.86e-02      1.63e-01    1.63e-01    1.0e-03
    477      5.06e+00    4.74e+00      9.98e-03    9.96e-03      1.60e-01    1.50e-01    1.0e-03
    486      5.01e+00    5.10e+00      1.43e-02    1.41e-02      1.58e-01    1.61e-01    1.0e-03
    495      4.91e+00    4.72e+00      3.59e-03    3.75e-03      1.55e-01    1.49e-01    1.0e-03
    504      4.70e+00    4.71e+00      3.10e-02    3.11e-02      1.49e-01    1.49e-01    1.0e-03
    513      4.83e+00    4.74e+00      2.87e-02    2.84e-02      1.53e-01    1.50e-01    1.0e-03
    522      4.92e+00    4.98e+00      1.51e-02    1.58e-02      1.55e-01    1.57e-01    1.0e-03
    531      4.79e+00    4.59e+00      7.67e-03    7.24e-03      1.51e-01    1.45e-01    1.0e-03
    540      4.65e+00    4.70e+00      3.54e-02    3.50e-02      1.47e-01    1.49e-01    1.0e-03
    549      4.57e+00    4.56e+00      1.41e-02    1.44e-02      1.44e-01    1.44e-01    1.0e-03
