#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      3.10e+01    3.17e+01      4.42e-01    4.47e-01      9.81e-01    1.00e+00    1.0e-03
      2      3.11e+01    3.15e+01      8.44e-02    8.70e-02      9.85e-01    9.95e-01    1.0e-03
      4      3.07e+01    3.10e+01      1.47e-01    1.44e-01      9.72e-01    9.82e-01    1.0e-03
      6      3.02e+01    3.09e+01      2.09e-01    2.07e-01      9.55e-01    9.76e-01    1.0e-03
      8      2.99e+01    3.04e+01      1.72e-01    1.69e-01      9.47e-01    9.61e-01    1.0e-03
     10      3.02e+01    3.03e+01      9.73e-02    9.59e-02      9.54e-01    9.59e-01    1.0e-03
     12      2.92e+01    3.03e+01      2.82e-02    2.52e-02      9.23e-01    9.58e-01    1.0e-03
     14      2.99e+01    2.98e+01      2.83e-02    3.16e-02      9.45e-01    9.43e-01    1.0e-03
     16      2.91e+01    2.92e+01      6.11e-02    6.22e-02      9.21e-01    9.23e-01    1.0e-03
     18      2.85e+01    2.95e+01      6.44e-02    6.81e-02      9.01e-01    9.34e-01    1.0e-03
     20      2.79e+01    2.90e+01      4.59e-02    4.88e-02      8.82e-01    9.16e-01    1.0e-03
     22      2.90e+01    2.87e+01      2.80e-02    2.95e-02      9.17e-01    9.07e-01    1.0e-03
     24      2.83e+01    2.86e+01      2.89e-02    3.13e-02      8.95e-01    9.04e-01    1.0e-03
     26      2.79e+01    2.85e+01      5.52e-02    5.79e-02      8.84e-01    9.01e-01    1.0e-03
     28      2.81e+01    2.84e+01      9.40e-02    9.59e-02      8.89e-01    9.00e-01    1.0e-03
     30      2.74e+01    2.82e+01      1.27e-01    1.31e-01      8.67e-01    8.91e-01    1.0e-03
     32      2.74e+01    2.80e+01      1.27e-01    1.29e-01      8.67e-01    8.86e-01    1.0e-03
     34      2.72e+01    2.76e+01      8.59e-02    8.77e-02      8.61e-01    8.74e-01    1.0e-03
     36      2.72e+01    2.74e+01      8.08e-02    8.22e-02      8.62e-01    8.65e-01    1.0e-03
     38      2.62e+01    2.73e+01      5.65e-02    6.07e-02      8.30e-01    8.62e-01    1.0e-03
     40      2.69e+01    2.71e+01      6.05e-02    6.38e-02      8.51e-01    8.58e-01    1.0e-03
     42      2.58e+01    2.64e+01      4.27e-02    4.53e-02      8.16e-01    8.36e-01    1.0e-03
     44      2.58e+01    2.62e+01      9.57e-02    9.82e-02      8.15e-01    8.30e-01    1.0e-03
     46      2.55e+01    2.59e+01      5.37e-02    5.62e-02      8.06e-01    8.18e-01    1.0e-03
     48      2.52e+01    2.58e+01      6.94e-02    7.11e-02      7.97e-01    8.16e-01    1.0e-03
     50      2.47e+01    2.53e+01      3.25e-02    2.88e-02      7.80e-01    8.00e-01    1.0e-03
     52      2.43e+01    2.46e+01      2.21e-02    2.03e-02      7.69e-01    7.78e-01    1.0e-03
     54      2.37e+01    2.41e+01      2.89e-02    3.14e-02      7.50e-01    7.63e-01    1.0e-03
     56      2.38e+01    2.38e+01      5.12e-02    5.30e-02      7.54e-01    7.53e-01    1.0e-03
     58      2.22e+01    2.36e+01      6.17e-02    6.64e-02      7.01e-01    7.46e-01    1.0e-03
     60      2.23e+01    2.25e+01      2.50e-02    2.30e-02      7.06e-01    7.12e-01    1.0e-03
     62      2.11e+01    2.18e+01      2.89e-02    2.72e-02      6.67e-01    6.90e-01    1.0e-03
     64      2.17e+01    2.22e+01      3.43e-02    3.58e-02      6.87e-01    7.01e-01    1.0e-03
     66      2.01e+01    2.11e+01      2.56e-01    2.60e-01      6.36e-01    6.68e-01    1.0e-03
     68      2.01e+01    2.10e+01      3.85e-01    3.87e-01      6.36e-01    6.64e-01    1.0e-03
     70      2.01e+01    2.08e+01      3.40e-01    3.44e-01      6.36e-01    6.59e-01    1.0e-03
     72      1.89e+01    1.96e+01      4.94e-01    4.97e-01      5.97e-01    6.20e-01    1.0e-03
