#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      3.19e+01    3.39e+01      2.38e-01    2.47e-01      1.01e+00    1.07e+00    1.0e-03
      3      3.40e+01    3.32e+01      6.00e-03    4.76e-03      1.07e+00    1.05e+00    1.0e-03
      6      3.26e+01    3.23e+01      8.13e-02    8.56e-02      1.03e+00    1.02e+00    1.0e-03
      9      2.69e+01    3.09e+01      6.75e-02    6.30e-02      8.51e-01    9.76e-01    1.0e-03
     12      2.87e+01    2.99e+01      4.23e-04    6.81e-03      9.08e-01    9.47e-01    1.0e-03
     15      2.90e+01    2.82e+01      6.85e-02    6.81e-02      9.16e-01    8.91e-01    1.0e-03
     18      2.79e+01    2.70e+01      1.39e-01    1.32e-01      8.83e-01    8.52e-01    1.0e-03
     21      2.38e+01    2.69e+01      2.81e-01    2.88e-01      7.52e-01    8.50e-01    1.0e-03
     24      2.75e+01    2.59e+01      5.47e-01    5.45e-01      8.68e-01    8.20e-01    1.0e-03
     27      2.71e+01    2.48e+01      7.20e-01    7.16e-01      8.57e-01    7.84e-01    1.0e-03
     30      2.47e+01    2.50e+01      6.41e-01    6.40e-01      7.79e-01    7.89e-01    1.0e-03
     33      2.36e+01    2.49e+01      5.07e-01    5.13e-01      7.46e-01    7.86e-01    1.0e-03
     36      2.53e+01    2.50e+01      2.80e-01    2.74e-01      8.01e-01    7.90e-01    1.0e-03
     39      2.29e+01    2.38e+01      1.04e-01    1.05e-01      7.25e-01    7.53e-01    1.0e-03
     42      2.33e+01    2.38e+01      4.93e-02    5.28e-02      7.37e-01    7.54e-01    1.0e-03
     45      2.34e+01    2.38e+01      9.92e-02    1.05e-01      7.39e-01    7.51e-01    1.0e-03
     48      2.42e+01    2.31e+01      1.66e-01    1.66e-01      7.64e-01    7.31e-01    1.0e-03
     51      2.31e+01    2.31e+01      1.46e-01    1.42e-01      7.32e-01    7.29e-01    1.0e-03
     54      2.24e+01    2.31e+01      9.25e-02    8.90e-02      7.07e-01    7.30e-01    1.0e-03
     57      2.19e+01    2.24e+01      4.75e-02    4.87e-02      6.94e-01    7.10e-01    1.0e-03
     60      2.08e+01    2.22e+01      4.05e-02    4.74e-02      6.57e-01    7.01e-01    1.0e-03
     63      2.12e+01    2.14e+01      2.98e-02    2.91e-02      6.70e-01    6.78e-01    1.0e-03
     66      2.44e+01    2.19e+01      4.41e-02    4.12e-02      7.71e-01    6.92e-01    1.0e-03
     69      2.08e+01    2.13e+01      9.03e-02    9.05e-02      6.59e-01    6.75e-01    1.0e-03
     72      2.01e+01    2.14e+01      1.07e-01    1.10e-01      6.34e-01    6.77e-01    1.0e-03
     75      2.07e+01    2.09e+01      1.21e-01    1.20e-01      6.54e-01    6.60e-01    1.0e-03
     78      2.07e+01    2.03e+01      1.94e-01    1.90e-01      6.55e-01    6.43e-01    1.0e-03
     81      2.07e+01    2.03e+01      1.97e-01    1.91e-01      6.54e-01    6.42e-01    1.0e-03
     84      1.91e+01    2.00e+01      1.40e-01    1.39e-01      6.03e-01    6.32e-01    1.0e-03
     87      1.79e+01    1.92e+01      1.60e-01    1.66e-01      5.65e-01    6.08e-01    1.0e-03
     90      1.92e+01    1.90e+01      2.59e-01    2.59e-01      6.07e-01    6.02e-01    1.0e-03
     93      1.97e+01    1.80e+01      2.65e-01    2.64e-01      6.23e-01    5.70e-01    1.0e-03
     96      1.77e+01    1.73e+01      2.86e-01    2.82e-01      5.59e-01    5.46e-01    1.0e-03
     99      1.57e+01    1.68e+01      2.48e-01    2.55e-01      4.97e-01    5.31e-01    1.0e-03
    102      1.29e+01    1.37e+01      7.37e-02    7.49e-02      4.85e-01    5.12e-01    7.1e-04
    105      1.23e+01    1.32e+01      1.41e-01    1.39e-01      4.62e-01    4.95e-01    7.1e-04
    108      1.26e+01    1.27e+01      1.71e-01    1.72e-01      4.72e-01    4.73e-01    7.1e-04
    111      1.17e+01    1.22e+01      1.20e-01    1.19e-01      4.39e-01    4.58e-01    7.1e-04
    114      1.30e+01    1.19e+01      3.34e-02    2.80e-02      4.87e-01    4.45e-01    7.1e-04
    117      1.11e+01    1.14e+01      4.14e-02    4.12e-02      4.17e-01    4.29e-01    7.1e-04
    120      1.19e+01    1.09e+01      3.81e-02    3.89e-02      4.46e-01    4.08e-01    7.1e-04
    123      1.25e+01    1.06e+01      1.14e-02    9.91e-03      4.68e-01    3.98e-01    7.1e-04
    126      1.03e+01    1.04e+01      2.96e-02    3.08e-02      3.86e-01    3.90e-01    7.1e-04
    129      9.77e+00    1.01e+01      2.50e-02    3.14e-02      3.66e-01    3.77e-01    7.1e-04
    132      1.01e+01    1.01e+01      1.66e-02    1.76e-02      3.78e-01    3.78e-01    7.1e-04
    135      9.69e+00    1.00e+01      8.06e-02    7.98e-02      3.63e-01    3.76e-01    7.1e-04
    138      9.42e+00    9.50e+00      3.63e-02    4.12e-02      3.53e-01    3.56e-01    7.1e-04
    141      8.95e+00    9.47e+00      8.29e-03    9.75e-03      3.36e-01    3.55e-01    7.1e-04
    144      8.40e+00    9.27e+00      1.56e-02    1.28e-02      3.15e-01    3.48e-01    7.1e-04
    147      8.83e+00    9.08e+00      3.07e-02    2.53e-02      3.31e-01    3.41e-01    7.1e-04
    150      9.38e+00    9.15e+00      3.50e-02    3.44e-02      3.52e-01    3.43e-01    7.1e-04
    153      9.43e+00    8.99e+00      1.85e-02    2.16e-02      3.54e-01    3.37e-01    7.1e-04
    156      8.23e+00    8.73e+00      8.00e-02    7.53e-02      3.08e-01    3.27e-01    7.1e-04
    159      9.26e+00    8.67e+00      3.27e-02    3.23e-02      3.47e-01    3.25e-01    7.1e-04
    162      8.71e+00    8.34e+00      3.10e-02    3.41e-02      3.26e-01    3.13e-01    7.1e-04
    165      8.20e+00    8.35e+00      5.61e-02    5.02e-02      3.07e-01    3.13e-01    7.1e-04
    168      8.04e+00    8.22e+00      1.57e-02    1.22e-02      3.02e-01    3.08e-01    7.1e-04
    171      9.44e+00    8.20e+00      3.35e-02    3.41e-02      3.54e-01    3.08e-01    7.1e-04
    174      7.89e+00    7.97e+00      1.04e-02    9.22e-03      2.96e-01    2.99e-01    7.1e-04
    177      7.20e+00    8.02e+00      8.06e-03    9.22e-03      2.70e-01    3.01e-01    7.1e-04
    180      7.96e+00    7.90e+00      5.41e-02    5.00e-02      2.98e-01    2.96e-01    7.1e-04
    183      9.51e+00    7.89e+00      3.44e-03    4.23e-03      3.57e-01    2.96e-01    7.1e-04
    186      7.77e+00    7.72e+00      6.06e-03    4.85e-03      2.92e-01    2.90e-01    7.1e-04
    189      8.61e+00    7.71e+00      2.13e-03    3.18e-03      3.23e-01    2.89e-01    7.1e-04
    192      7.62e+00    7.58e+00      1.63e-03    3.90e-03      2.86e-01    2.84e-01    7.1e-04
    195      7.49e+00    7.32e+00      5.05e-03    6.68e-03      2.81e-01    2.75e-01    7.1e-04
    198      7.79e+00    7.49e+00      1.23e-02    7.80e-03      2.92e-01    2.81e-01    7.1e-04
