#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      3.33e+01    3.39e+01      4.27e-01    4.28e-01      1.05e+00    1.07e+00    1.0e-03
     19      2.92e+01    3.04e+01      4.15e-02    4.16e-02      9.25e-01    9.62e-01    1.0e-03
     38      2.71e+01    2.91e+01      4.62e-02    4.91e-02      8.57e-01    9.21e-01    1.0e-03
     57      2.57e+01    2.69e+01      2.83e-01    2.82e-01      8.11e-01    8.51e-01    1.0e-03
     76      2.28e+01    2.36e+01      6.82e-02    7.16e-02      7.22e-01    7.45e-01    1.0e-03
     95      1.83e+01    1.92e+01      3.09e-01    3.09e-01      5.80e-01    6.07e-01    1.0e-03
    114      1.44e+01    1.45e+01      2.06e-01    2.06e-01      4.54e-01    4.58e-01    1.0e-03
    133      1.13e+01    1.15e+01      2.15e-01    2.14e-01      3.57e-01    3.63e-01    1.0e-03
    152      9.82e+00    1.03e+01      1.08e-01    1.08e-01      3.10e-01    3.24e-01    1.0e-03
    171      9.41e+00    9.53e+00      8.51e-02    8.65e-02      2.97e-01    3.01e-01    1.0e-03
    190      9.29e+00    9.68e+00      1.95e-02    1.90e-02      2.94e-01    3.06e-01    1.0e-03
    209      8.60e+00    8.80e+00      8.25e-02    8.26e-02      2.72e-01    2.78e-01    1.0e-03
    228      8.67e+00    8.77e+00      5.38e-02    5.33e-02      2.74e-01    2.77e-01    1.0e-03
    247      7.92e+00    8.22e+00      7.79e-02    7.87e-02      2.50e-01    2.60e-01    1.0e-03
    266      7.75e+00    7.84e+00      3.90e-03    4.54e-03      2.45e-01    2.48e-01    1.0e-03
    285      7.73e+00    7.66e+00      5.04e-02    4.99e-02      2.44e-01    2.42e-01    1.0e-03
    304      7.33e+00    7.52e+00      4.34e-02    4.35e-02      2.32e-01    2.38e-01    1.0e-03
    323      7.40e+00    7.59e+00      3.97e-03    5.30e-03      2.34e-01    2.40e-01    1.0e-03
    342      7.01e+00    7.15e+00      4.10e-02    3.98e-02      2.22e-01    2.26e-01    1.0e-03
    361      7.08e+00    7.09e+00      6.29e-02    6.26e-02      2.24e-01    2.24e-01    1.0e-03
    380      6.54e+00    6.81e+00      4.90e-03    6.57e-03      2.07e-01    2.15e-01    1.0e-03
    399      6.91e+00    7.15e+00      5.15e-02    5.13e-02      2.19e-01    2.26e-01    1.0e-03
    418      6.78e+00    6.80e+00      3.31e-02    3.36e-02      2.14e-01    2.15e-01    1.0e-03
    437      6.12e+00    6.32e+00      5.36e-02    5.31e-02      1.93e-01    2.00e-01    1.0e-03
    456      5.98e+00    6.21e+00      3.59e-02    3.61e-02      1.89e-01    1.96e-01    1.0e-03
    475      6.42e+00    6.46e+00      5.97e-02    5.95e-02      2.03e-01    2.04e-01    1.0e-03
    494      5.94e+00    6.07e+00      1.58e-02    1.61e-02      1.88e-01    1.92e-01    1.0e-03
    513      6.50e+00    6.48e+00      7.43e-02    7.38e-02      2.05e-01    2.05e-01    1.0e-03
    532      5.80e+00    6.08e+00      1.29e-02    1.34e-02      1.83e-01    1.92e-01    1.0e-03
    551      5.51e+00    5.71e+00      6.33e-03    6.30e-03      1.74e-01    1.81e-01    1.0e-03
    570      5.75e+00    5.83e+00      1.17e-02    1.21e-02      1.82e-01    1.84e-01    1.0e-03
    589      5.35e+00    5.63e+00      4.45e-02    4.44e-02      1.69e-01    1.78e-01    1.0e-03
    608      5.61e+00    5.75e+00      2.10e-02    2.01e-02      1.77e-01    1.82e-01    1.0e-03
    627      5.65e+00    5.64e+00      4.45e-02    4.41e-02      1.79e-01    1.78e-01    1.0e-03
    646      5.30e+00    5.47e+00      1.75e-03    2.59e-03      1.68e-01    1.73e-01    1.0e-03
    665      5.23e+00    5.46e+00      7.58e-03    7.84e-03      1.65e-01    1.73e-01    1.0e-03
    684      5.77e+00    5.98e+00      1.20e-01    1.19e-01      1.83e-01    1.89e-01    1.0e-03
    703      5.74e+00    5.70e+00      7.22e-02    7.23e-02      1.82e-01    1.80e-01    1.0e-03
    722      5.57e+00    5.63e+00      7.92e-02    7.86e-02      1.76e-01    1.78e-01    1.0e-03
    741      5.08e+00    5.34e+00      5.72e-02    5.63e-02      1.60e-01    1.69e-01    1.0e-03
    760      5.61e+00    5.59e+00      3.93e-03    3.26e-03      1.77e-01    1.77e-01    1.0e-03
