#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      3.17e+01    3.17e+01      4.44e-01    4.45e-01      1.00e+00    1.00e+00    1.0e-03
     19      2.83e+01    2.89e+01      2.56e-02    2.93e-02      8.96e-01    9.14e-01    1.0e-03
     38      2.65e+01    2.69e+01      3.78e-03    5.23e-03      8.39e-01    8.51e-01    1.0e-03
     57      2.60e+01    2.43e+01      1.71e-02    2.20e-02      8.22e-01    7.69e-01    1.0e-03
     76      1.86e+01    1.93e+01      1.95e-01    1.93e-01      5.88e-01    6.10e-01    1.0e-03
     95      1.58e+01    1.57e+01      4.87e-02    5.42e-02      4.98e-01    4.95e-01    1.0e-03
    114      1.28e+01    1.33e+01      2.10e-01    2.03e-01      4.05e-01    4.20e-01    1.0e-03
    133      1.06e+01    1.09e+01      1.31e-01    1.30e-01      3.35e-01    3.46e-01    1.0e-03
    152      9.41e+00    9.64e+00      2.93e-03    8.10e-03      2.98e-01    3.05e-01    1.0e-03
    171      9.37e+00    9.16e+00      6.55e-02    6.34e-02      2.96e-01    2.90e-01    1.0e-03
    190      9.41e+00    8.85e+00      9.18e-02    9.27e-02      2.98e-01    2.80e-01    1.0e-03
    209      7.75e+00    8.18e+00      2.98e-02    3.13e-02      2.45e-01    2.59e-01    1.0e-03
    228      8.40e+00    7.79e+00      4.45e-02    4.36e-02      2.66e-01    2.46e-01    1.0e-03
    247      7.55e+00    7.60e+00      2.07e-02    2.06e-02      2.39e-01    2.40e-01    1.0e-03
    266      6.42e+00    7.24e+00      1.37e-02    1.21e-02      2.03e-01    2.29e-01    1.0e-03
    285      7.66e+00    7.28e+00      4.71e-02    5.04e-02      2.42e-01    2.30e-01    1.0e-03
    304      7.27e+00    7.41e+00      1.60e-01    1.60e-01      2.30e-01    2.34e-01    1.0e-03
    323      6.79e+00    6.95e+00      1.55e-02    1.39e-02      2.15e-01    2.20e-01    1.0e-03
    342      7.09e+00    6.80e+00      2.47e-02    2.18e-02      2.24e-01    2.15e-01    1.0e-03
    361      6.49e+00    6.73e+00      3.07e-02    3.21e-02      2.05e-01    2.13e-01    1.0e-03
    380      6.65e+00    7.15e+00      6.22e-02    6.38e-02      2.10e-01    2.26e-01    1.0e-03
    399      6.43e+00    6.60e+00      1.36e-02    1.20e-02      2.03e-01    2.09e-01    1.0e-03
    418      6.25e+00    6.40e+00      1.18e-02    1.16e-02      1.98e-01    2.02e-01    1.0e-03
    437      6.08e+00    6.54e+00      1.56e-02    1.44e-02      1.92e-01    2.07e-01    1.0e-03
    456      7.06e+00    6.55e+00      1.22e-02    8.63e-03      2.23e-01    2.07e-01    1.0e-03
