Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -574.0834    -577.8048       3.7214   327.2
0.0500        -572.6819    -575.1782       2.4963   219.5
0.1000        -571.7546    -574.6673       2.9127   256.1
0.1500        -571.6195    -574.7456       3.1262   274.8
0.2000        -571.1846    -574.5569       3.3723   296.5
0.2500        -571.3314    -574.7117       3.3803   297.2
0.3000        -571.2001    -574.4623       3.2622   286.8
0.3500        -570.9480    -574.1777       3.2297   283.9
0.4000        -570.7073    -574.2750       3.5677   313.6
0.4500        -570.6117    -574.3581       3.7464   329.4
0.5000        -570.8488    -574.6306       3.7818   332.5
0.5500        -570.6308    -574.2464       3.6156   317.9
0.6000        -570.5044    -574.4030       3.8986   342.7
0.6500        -570.4400    -573.8758       3.4358   302.0
0.7000        -570.8298    -574.6160       3.7862   332.9
0.7500        -570.7980    -574.2836       3.4856   306.4
0.8000        -570.8073    -574.2910       3.4837   306.3
0.8500        -570.9910    -573.8153       2.8243   248.3
0.9000        -571.1969    -574.3066       3.1097   273.4
0.9500        -570.6877    -573.9116       3.2239   283.4
1.0000        -570.6960    -574.4985       3.8025   334.3
1.0500        -570.8566    -574.0875       3.2309   284.0
1.1000        -571.2020    -574.2462       3.0442   267.6
1.1500        -571.5993    -574.8323       3.2330   284.2
1.2000        -571.3230    -574.5089       3.1858   280.1
1.2500        -571.5532    -574.9402       3.3870   297.8
1.3000        -571.8048    -574.8624       3.0577   268.8
1.3500        -571.7203    -575.0437       3.3234   292.2
1.4000        -571.3969    -574.4599       3.0631   269.3
1.4500        -571.4757    -574.7175       3.2418   285.0
1.5000        -571.3449    -574.8385       3.4936   307.1
1.5500        -571.3747    -574.7296       3.3549   294.9
1.6000        -571.2860    -574.7515       3.4654   304.7
1.6500        -571.2688    -574.5689       3.3001   290.1
1.7000        -571.4426    -574.6363       3.1937   280.8
1.7500        -570.9729    -574.9563       3.9834   350.2
1.8000        -571.1829    -574.7120       3.5291   310.3
1.8500        -571.6287    -574.7309       3.1022   272.7
1.9000        -571.1466    -574.6335       3.4869   306.5
1.9500        -571.2325    -574.7113       3.4788   305.8
2.0000        -571.2275    -574.7153       3.4877   306.6
2.0500        -571.9167    -575.1002       3.1835   279.9
2.1000        -571.8179    -574.4830       2.6651   234.3
2.1500        -571.4754    -574.6789       3.2035   281.6
2.2000        -571.4656    -574.7726       3.3070   290.7
2.2500        -571.9528    -574.9267       2.9739   261.4
2.3000        -571.3685    -574.8264       3.4579   304.0
2.3500        -570.9273    -574.1574       3.2302   284.0
2.4000        -570.7126    -574.2339       3.5214   309.6
2.4500        -571.2774    -574.1986       2.9211   256.8
2.5000        -571.6427    -574.7839       3.1411   276.1
2.5500        -571.5856    -574.7145       3.1289   275.1
2.6000        -571.8308    -575.0829       3.2521   285.9
2.6500        -571.3621    -574.6268       3.2647   287.0
2.7000        -571.5637    -574.6371       3.0734   270.2
2.7500        -571.2760    -574.5044       3.2284   283.8
2.8000        -571.2836    -574.8660       3.5824   314.9
2.8500        -570.8640    -574.3814       3.5173   309.2
2.9000        -570.8693    -574.3499       3.4805   306.0
2.9500        -570.8787    -574.6291       3.7505   329.7
3.0000        -570.8603    -574.1615       3.3012   290.2
3.0500        -570.9012    -574.1754       3.2742   287.8
3.1000        -571.2191    -574.7542       3.5351   310.8
3.1500        -571.3350    -574.8148       3.4797   305.9
3.2000        -571.3508    -574.6026       3.2518   285.9
3.2500        -571.7165    -574.6924       2.9760   261.6
3.3000        -571.1842    -574.9017       3.7175   326.8
3.3500        -571.3717    -574.7477       3.3760   296.8
3.4000        -572.0177    -575.0030       2.9854   262.5
3.4500        -570.9852    -574.6590       3.6738   323.0
3.5000        -571.3485    -574.9535       3.6050   316.9
3.5500        -571.0799    -574.7769       3.6970   325.0
3.6000        -571.5788    -574.9276       3.3488   294.4
3.6500        -572.1074    -575.1638       3.0564   268.7
3.7000        -572.2933    -574.9103       2.6170   230.1
3.7500        -572.0052    -575.3120       3.3068   290.7
3.8000        -571.5572    -574.5051       2.9479   259.2
3.8500        -572.0087    -575.0863       3.0776   270.6
3.9000        -571.7902    -574.5468       2.7565   242.3
3.9500        -571.7638    -574.8853       3.1216   274.4
4.0000        -571.6200    -574.9215       3.3014   290.2
4.0500        -571.7107    -575.0016       3.2909   289.3
4.1000        -571.6286    -574.8634       3.2348   284.4
4.1500        -571.1692    -574.8982       3.7290   327.8
4.2000        -570.8207    -574.5218       3.7011   325.4
4.2500        -571.2305    -574.6630       3.4325   301.8
4.3000        -570.5098    -574.0722       3.5624   313.2
4.3500        -571.0222    -574.8018       3.7797   332.3
4.4000        -571.0564    -574.5845       3.5281   310.2
4.4500        -570.6638    -574.2080       3.5442   311.6
4.5000        -570.6710    -574.1699       3.4989   307.6
