Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -574.9781    -577.9977       3.0196   265.5
0.0500        -573.1630    -575.6864       2.5234   221.8
0.1000        -571.8356    -574.5940       2.7585   242.5
0.1500        -572.0973    -575.0245       2.9272   257.3
0.2000        -571.7909    -574.7174       2.9265   257.3
0.2500        -571.8951    -575.0371       3.1420   276.2
0.3000        -571.6554    -574.6967       3.0413   267.4
0.3500        -571.4868    -574.7511       3.2643   287.0
0.4000        -570.8580    -574.3156       3.4576   304.0
0.4500        -571.1841    -574.5713       3.3872   297.8
0.5000        -571.1320    -574.3928       3.2608   286.7
0.5500        -570.8253    -574.5207       3.6954   324.9
0.6000        -571.2483    -574.2809       3.0326   266.6
0.6500        -571.1006    -574.5178       3.4172   300.4
0.7000        -571.3031    -574.2238       2.9207   256.8
0.7500        -571.5943    -575.1841       3.5898   315.6
0.8000        -571.6029    -574.9612       3.3582   295.2
0.8500        -571.8311    -575.5553       3.7242   327.4
0.9000        -572.1069    -575.4331       3.3261   292.4
0.9500        -572.5714    -576.1765       3.6051   316.9
1.0000        -572.5223    -575.5100       2.9877   262.7
1.0500        -572.5340    -575.6497       3.1157   273.9
1.1000        -572.1267    -575.7722       3.6456   320.5
1.1500        -572.4056    -576.1585       3.7530   329.9
1.2000        -573.1935    -576.0112       2.8177   247.7
1.2500        -572.9284    -576.4563       3.5279   310.2
1.3000        -573.0693    -576.8204       3.7511   329.8
1.3500        -573.0895    -576.9644       3.8748   340.6
1.4000        -573.1006    -577.1086       4.0080   352.4
1.4500        -574.4629    -578.0586       3.5958   316.1
1.5000        -574.4609    -578.0788       3.6179   318.1
1.5500        -574.4847    -577.9657       3.4810   306.0
1.6000        -574.9457    -578.1621       3.2163   282.8
1.6500        -574.8813    -578.3858       3.5045   308.1
1.7000        -574.5215    -577.8038       3.2823   288.6
1.7500        -574.8731    -578.0728       3.1997   281.3
1.8000        -574.6244    -578.2255       3.6011   316.6
1.8500        -578.2298    -584.8167       6.5869   579.1
1.9000        -580.2275    -586.1523       5.9248   520.9
1.9500        -582.5606    -589.0953       6.5348   574.5
2.0000        -572.0302    -580.6364       8.6063   756.6
2.0500        -575.6789    -584.4119       8.7330   767.7
2.1000        -581.5296    -590.5170       8.9874   790.1
2.1500        -578.7209    -588.4697       9.7489   857.1
2.2000        -577.2672    -588.8428      11.5756  1017.6
2.2500        -564.0629    -579.4722      15.4093  1354.7
2.3000        -573.9711    -583.3652       9.3941   825.9
2.3500        -576.5122    -586.2783       9.7662   858.6
2.4000        -579.7069    -586.7692       7.0623   620.9
2.4500        -582.6317    -588.4148       5.7831   508.4
2.5000        -585.3476    -590.5809       5.2333   460.1
2.5500        -586.9302    -591.3364       4.4063   387.4
2.6000        -588.1170    -592.5231       4.4060   387.3
2.6500        -588.7018    -592.8393       4.1374   363.7
2.7000        -589.3005    -592.9981       3.6976   325.1
2.7500        -589.9267    -593.3901       3.4634   304.5
2.8000        -590.4143    -593.6458       3.2316   284.1
2.8500        -589.8410    -593.2849       3.4439   302.8
2.9000        -590.0652    -593.5443       3.4791   305.9
2.9500        -590.4929    -594.1589       3.6661   322.3
3.0000        -590.6936    -594.5398       3.8462   338.1
3.0500        -591.2426    -594.3690       3.1265   274.9
3.1000        -590.5632    -593.8424       3.2792   288.3
3.1500        -590.5686    -593.8850       3.3165   291.6
3.2000        -590.3954    -594.0061       3.6107   317.4
3.2500        -590.7912    -593.7994       3.0082   264.5
3.3000        -591.1673    -594.2388       3.0716   270.0
3.3500        -591.1439    -594.3864       3.2424   285.0
3.4000        -591.6421    -594.5350       2.8928   254.3
3.4500        -590.8248    -593.8968       3.0720   270.1
3.5000        -590.3565    -593.6886       3.3321   292.9
3.5500        -590.4229    -593.6946       3.2717   287.6
3.6000        -590.0848    -593.3525       3.2677   287.3
3.6500        -590.3767    -593.7354       3.3587   295.3
3.7000        -590.1553    -593.5138       3.3585   295.3
3.7500        -590.2779    -593.5340       3.2560   286.2
3.8000        -590.2025    -593.8434       3.6408   320.1
3.8500        -590.8651    -593.9794       3.1143   273.8
3.9000        -590.8951    -594.0647       3.1697   278.7
3.9500        -590.7317    -594.2639       3.5323   310.5
4.0000        -590.7498    -594.3810       3.6312   319.2
4.0500        -591.1157    -594.2229       3.1072   273.2
4.1000        -590.7760    -594.1219       3.3459   294.2
4.1500        -590.7763    -593.6780       2.9017   255.1
4.2000        -590.7733    -593.8965       3.1231   274.6
4.2500        -591.0541    -594.5092       3.4551   303.8
4.3000        -590.7561    -593.8568       3.1008   272.6
4.3500        -591.1109    -594.5477       3.4368   302.1
4.4000        -591.0230    -594.3089       3.2859   288.9
4.4500        -591.6142    -594.2975       2.6833   235.9
4.5000        -591.2708    -594.3334       3.0626   269.2
4.5500        -590.9981    -594.4087       3.4107   299.8
4.6000        -590.9612    -593.6493       2.6881   236.3
4.6500        -590.8145    -593.8472       3.0328   266.6
4.7000        -590.2331    -593.7196       3.4865   306.5
4.7500        -590.1255    -593.6153       3.4898   306.8
4.8000        -590.0006    -593.8852       3.8846   341.5
4.8500        -589.8819    -593.6205       3.7386   328.7
4.9000        -589.8645    -593.5947       3.7302   327.9
4.9500        -589.9837    -593.7785       3.7947   333.6
5.0000        -590.1151    -593.3811       3.2660   287.1
5.0500        -589.9024    -593.7184       3.8160   335.5
5.1000        -590.2611    -593.8591       3.5980   316.3
5.1500        -590.0981    -594.2374       4.1393   363.9
5.2000        -590.7676    -594.0354       3.2678   287.3
5.2500        -591.1558    -594.4478       3.2920   289.4
5.3000        -591.4619    -594.6929       3.2311   284.1
5.3500        -590.6021    -594.2761       3.6740   323.0
5.4000        -590.7144    -593.6380       2.9237   257.0
5.4500        -590.7120    -594.7453       4.0333   354.6
5.5000        -590.8478    -593.8830       3.0351   266.8
5.5500        -590.5147    -594.0626       3.5479   311.9
5.6000        -589.9600    -593.9387       3.9787   349.8
5.6500        -590.3117    -594.1896       3.8779   340.9
5.7000        -590.5741    -594.9378       4.3637   383.6
5.7500        -591.0970    -594.8451       3.7481   329.5
5.8000        -591.6212    -594.8982       3.2770   288.1
5.8500        -592.0719    -594.8637       2.7918   245.4
5.9000        -592.1629    -595.1000       2.9371   258.2
5.9500        -592.2844    -595.3602       3.0758   270.4
6.0000        -591.8818    -594.9064       3.0247   265.9
6.0500        -591.9105    -595.2072       3.2966   289.8
6.1000        -591.9637    -595.2722       3.3085   290.9
6.1500        -592.0347    -595.1356       3.1008   272.6
6.2000        -591.8931    -595.2401       3.3470   294.2
6.2500        -591.7225    -594.9226       3.2001   281.3
6.3000        -591.9193    -595.1612       3.2419   285.0
6.3500        -590.9564    -594.8910       3.9346   345.9
6.4000        -591.4071    -595.0244       3.6174   318.0
6.4500        -592.1457    -595.9367       3.7910   333.3
6.5000        -592.9164    -596.5399       3.6234   318.5
6.5500        -593.1936    -596.6227       3.4292   301.5
6.6000        -594.0236    -597.3141       3.2906   289.3
6.6500        -594.2378    -597.1578       2.9200   256.7
6.7000        -594.3997    -597.7273       3.3275   292.5
6.7500        -593.8410    -597.9133       4.0723   358.0
6.8000        -595.2527    -599.9800       4.7273   415.6
6.8500        -595.9307    -599.6872       3.7565   330.2
6.9000        -596.0921    -599.4266       3.3345   293.1
6.9500        -596.6250    -600.6564       4.0314   354.4
7.0000        -597.5167    -601.5816       4.0649   357.4
7.0500        -597.0843    -608.3782      11.2939   992.9
7.1000        -603.8711    -616.2743      12.4031  1090.4
7.1500        -612.9951    -635.8076      22.8125  2005.5
7.2000        -627.3114    -704.6800      77.3685  6801.7
7.2500        -604.6874    -660.0799      55.3925  4869.7
7.3000        -610.8889    -664.5898      53.7010  4721.0
7.3500        -600.4354    -694.5022      94.0668  8269.7
7.4000        -631.3536    -704.8491      73.4956  6461.2
7.4500        -598.2798    -686.5720      88.2922  7762.0
7.5000        -608.7255    -711.5049     102.7794  9035.7
7.5500        -632.1343    -702.2496      70.1153  6164.1
7.6000        -551.3546    -698.8143     147.4597  12963.6
7.6500        -513.5507    -653.0710     139.5203  12265.7
7.7000        -606.1425    -683.5939      77.4514  6809.0
7.7500        -646.1250    -730.4417      84.3167  7412.5
7.8000        -531.7837    -664.6650     132.8814  11682.0
7.8500        -599.4871    -672.4727      72.9856  6416.4
7.9000        -622.3562    -703.2396      80.8834  7110.7
7.9500        -596.7810    -699.5441     102.7631  9034.2
8.0000        -661.1881    -854.7665     193.5784  17018.1
8.0500        -500.1737    -804.1979     304.0242  26727.7
8.1000        -426.9074    -731.1923     304.2849  26750.6
8.1500        -329.7618    -765.4057     435.6439  38298.8
8.2000        -466.8981    -781.0253     314.1272  27615.9
8.2500        -570.5278    -859.3941     288.8663  25395.1
8.3000        -185.3295    -774.2493     588.9198  51773.7
8.3500        -235.3878    -816.0952     580.7074  51051.8
8.4000        -557.6524    -950.5666     392.9141  34542.3
8.4500        -191.0267    -886.3062     695.2795  61124.1
8.5000        1064.6897    -826.5158    1891.2054  166261.6
8.5500         621.9838    -889.7554    1511.7391  132901.6
8.6000        -146.5037    -859.6537     713.1500  62695.2
8.6500         -32.2898    -934.2772     901.9874  79296.5
8.7000         109.0054    -914.9041    1023.9095  90015.0
8.7500        -236.6137    -975.0233     738.4096  64915.8
8.8000          24.8782    -976.0103    1000.8885  87991.2
8.8500         147.9376    -892.6379    1040.5755  91480.2
8.9000        -225.2098    -918.6216     693.4118  60959.9
8.9500        -482.6150   -1023.8139     541.1990  47578.5
9.0000          15.5739    -854.6842     870.2581  76507.0
9.0500         -89.6558    -950.7158     861.0600  75698.4
9.1000         622.6738    -848.1628    1470.8366  129305.7
9.1500         408.6698    -746.4449    1155.1147  101549.7
9.2000         337.6682    -845.9455    1183.6137  104055.1
9.2500         375.3146    -849.4075    1224.7221  107669.0
9.3000         329.8797    -810.0996    1139.9792  100219.0
9.3500         201.5352    -924.2771    1125.8123  98973.6
9.4000         266.6830    -984.7093    1251.3923  110013.7
9.4500        -360.6813    -934.0747     573.3934  50408.8
9.5000        -230.6829    -998.6284     767.9454  67512.4
9.5500        -326.7639   -1046.2495     719.4857  63252.2
9.6000        -292.0104    -990.4883     698.4779  61405.3
9.6500        -454.1421    -950.0390     495.8969  43595.8
9.7000        -382.8191   -1061.0163     678.1973  59622.4
9.7500         520.0946    -890.6282    1410.7227  124020.9
9.8000        -109.7470   -1136.7632    1027.0162  90288.1
9.8500         357.9343    -945.6546    1303.5889  114602.5
9.9000        -237.0809    -957.3627     720.2818  63322.2
9.9500        -437.9759   -1107.7322     669.7563  58880.3
10.0000       -245.7901   -1032.5480     786.7579  69166.3
10.0500       -226.2911    -903.6822     677.3911  59551.5
10.1000       -290.3234   -1025.9188     735.5954  64668.4
10.1500       -431.4147   -1130.1822     698.7674  61430.8
10.2000         80.1542   -1009.4208    1089.5751  95787.9
10.2500        238.4119    -971.6598    1210.0717  106381.1
10.3000        630.7566    -946.3410    1577.0976  138647.5
10.3500        609.7622    -954.2227    1563.9850  137494.7
10.4000        363.3753    -980.2263    1343.6016  118120.1
10.4500         49.0312   -1020.3546    1069.3858  94013.0
10.5000       -383.1465    -949.8935     566.7469  49824.4
10.5500       -364.9144   -1128.1671     763.2527  67099.9
10.6000        283.4123    -976.6803    1260.0926  110778.6
10.6500       1020.1505    -803.1773    1823.3278  160294.3
10.7000       1128.1186    -828.1216    1956.2401  171979.0
10.7500        316.6021    -862.1304    1178.7325  103626.0
10.8000        702.4595    -898.9131    1601.3727  140781.6
10.8500       1279.0234    -921.4331    2200.4565  193448.8
10.9000       1096.7798   -1030.4202    2127.1999  187008.6
10.9500        828.1490    -877.2500    1705.3990  149926.8
11.0000        626.5460    -963.8615    1590.4074  139817.6
11.0500       1135.7858    -960.7023    2096.4881  184308.7
11.1000       1167.2552    -889.1242    2056.3794  180782.6
11.1500        142.8393    -989.1331    1131.9724  99515.1
11.2000       2010.9325    -691.1446    2702.0770  237547.8
11.2500       1168.5628    -723.1501    1891.7129  166306.2
11.3000       1666.8664    -813.1329    2479.9994  218024.3
11.3500        427.4516    -843.5392    1270.9908  111736.7
11.4000       1158.8102    -686.3529    1845.1630  162213.9
11.4500        513.3677    -792.7893    1306.1570  114828.2
11.5000       -165.0320    -787.9884     622.9564  54766.0
11.5500       -327.1889    -772.3492     445.1603  39135.4
11.6000       -526.6980    -926.8962     400.1982  35182.6
11.6500        -67.1968    -839.7199     772.5231  67914.9
11.7000       -203.4486    -843.8010     640.3524  56295.3
11.7500       -358.1717    -874.3412     516.1694  45378.0
11.8000       -447.7988    -868.4603     420.6615  36981.6
11.8500        289.2249    -963.5472    1252.7721  110135.0
11.9000       -137.4584    -840.6377     703.1793  61818.6
11.9500       -532.2621    -925.1250     392.8628  34537.8
12.0000       -217.4784    -863.9173     646.4389  56830.4
12.0500       -394.2795    -931.8581     537.5786  47260.2
12.1000       -573.4946    -866.8286     293.3340  25787.9
12.1500       -650.4921    -913.6475     263.1555  23134.8
12.2000       -674.2989   -1012.6264     338.3275  29743.4
12.2500       -699.0737   -1035.1739     336.1002  29547.6
12.3000       -661.5976    -989.7226     328.1250  28846.5
12.3500       -181.9821    -848.2928     666.3107  58577.4
12.4000       -566.9017    -917.5319     350.6302  30825.0
12.4500       -607.2407   -1008.9790     401.7384  35318.0
12.5000        169.9216    -863.6924    1033.6139  90868.1
12.5500       1114.5607    -894.6886    2009.2493  176639.2
12.6000        304.6397    -924.5049    1229.1446  108057.8
12.6500        358.0818    -864.8755    1222.9573  107513.9
12.7000       -393.0150    -897.4779     504.4628  44348.9
12.7500       -283.8574    -880.4555     596.5981  52448.8
12.8000       -502.5361    -905.3538     402.8176  35412.9
12.8500       -174.8682    -995.8692     821.0010  72176.7
12.9000         18.8464    -885.8338     904.6802  79533.2
12.9500       1060.9639    -750.7145    1811.6784  159270.2
13.0000        256.6029    -854.4958    1111.0987  97680.1
13.0500          4.3661    -767.1885     771.5545  67829.7
13.1000        -67.8833    -859.2388     791.3555  69570.5
13.1500       -331.5168    -864.3631     532.8463  46844.1
13.2000       -241.5991    -867.6912     626.0922  55041.7
13.2500       -319.3216    -943.7976     624.4759  54899.6
13.3000       -295.1196    -912.2313     617.1117  54252.2
13.3500       -395.7911    -897.0941     501.3031  44071.1
13.4000       -521.4824   -1025.1358     503.6534  44277.7
13.4500        101.2689    -817.9479     919.2168  80811.1
13.5000       -388.2298    -908.9984     520.7686  45782.4
13.5500       -519.4678    -906.6830     387.2153  34041.3
13.6000       -495.9192    -996.8540     500.9348  44038.7
