epoch,lr_schedule,step,test_energy_mae,test_energy_rmse,test_forces_mae,test_forces_rmse,test_loss,train_energy_mae,train_energy_rmse,train_forces_mae,train_forces_rmse,train_loss,val_energy_mae,val_energy_rmse,val_forces_mae,val_forces_rmse,val_loss
,0.001,0,,,,,,,,,,,,,,,
0,,49,,,,,,1.662758231163025,2.52182674407959,0.5969403982162476,0.8604118227958679,0.7965014576911926,,,,,
0,,94,,,,,,,,,,,2.0690789222717285,2.2601773738861084,0.596164345741272,0.8135170936584473,0.7062759399414062
,0.001,95,,,,,,,,,,,,,,,
1,,99,,,,,,2.1403815746307373,2.341721534729004,0.4843747615814209,0.6555549502372742,0.4802913963794708,,,,,
1,,149,,,,,,0.6335870027542114,0.8258541822433472,0.281343549489975,0.36429494619369507,0.13820403814315796,,,,,
1,,189,,,,,,,,,,,0.8525936603546143,0.9936380982398987,0.273171603679657,0.35522377490997314,0.13479526340961456
,0.001,190,,,,,,,,,,,,,,,
2,,199,,,,,,0.5261232852935791,0.6791800856590271,0.24254976212978363,0.3141797184944153,0.10233466327190399,,,,,
2,,249,,,,,,0.6335122585296631,0.8286763429641724,0.20849832892417908,0.2739570736885071,0.08116898685693741,,,,,
2,,284,,,,,,,,,,,0.5002833604812622,0.5979809761047363,0.19734667241573334,0.25627395510673523,0.06859538704156876
,0.001,285,,,,,,,,,,,,,,,
3,,299,,,,,,0.30315566062927246,0.33928313851356506,0.17193619906902313,0.22243240475654602,0.050132542848587036,,,,,
3,,349,,,,,,0.22042834758758545,0.2376808226108551,0.1489294171333313,0.19670860469341278,0.03887225314974785,,,,,
3,,379,,,,,,,,,,,0.3162561357021332,0.40664830803871155,0.1613624095916748,0.2113305777311325,0.04586763307452202
,0.001,380,,,,,,,,,,,,,,,
4,,399,,,,,,0.8592910766601562,0.9096822142601013,0.14939740300178528,0.19590497016906738,0.04627018794417381,,,,,
4,,449,,,,,,0.17741747200489044,0.21909907460212708,0.1325562298297882,0.17527173459529877,0.030893024057149887,,,,,
4,,474,,,,,,,,,,,0.24647194147109985,0.3395763039588928,0.1413039267063141,0.18587876856327057,0.035358529537916183
,0.001,475,,,,,,,,,,,,,,,
5,,499,,,,,,0.4269319474697113,0.46433907747268677,0.12255144864320755,0.15864428877830505,0.02707243524491787,,,,,
5,,549,,,,,,0.2862745225429535,0.33514782786369324,0.12279956787824631,0.162515327334404,0.027270358055830002,,,,,
5,,569,,,,,,,,,,,0.2182239145040512,0.30163395404815674,0.12830954790115356,0.16906173527240753,0.02920588292181492
,0.001,570,,,,,,,,,,,,,,,
6,,599,,,,,,0.14664065837860107,0.20492176711559296,0.12259773164987564,0.16252641379833221,0.026570618152618408,,,,,
6,,649,,,,,,0.7349627614021301,0.7819440364837646,0.11593639850616455,0.1561700850725174,0.030259564518928528,,,,,
6,,664,,,,,,,,,,,0.2066279798746109,0.2822757959365845,0.11893702298402786,0.15696203708648682,0.025187507271766663
,0.001,665,,,,,,,,,,,,,,,
7,,699,,,,,,0.28895753622055054,0.3236221671104431,0.11105669289827347,0.14622893929481506,0.02221638523042202,,,,,
7,,749,,,,,,0.19835659861564636,0.22265960276126862,0.10483810305595398,0.13778039813041687,0.019289374351501465,,,,,
7,,759,,,,,,,,,,,0.19401994347572327,0.26549145579338074,0.11189477890729904,0.14778374135494232,0.02232648804783821
,0.001,760,,,,,,,,,,,,,,,
8,,799,,,,,,0.425680011510849,0.43839529156684875,0.10967645049095154,0.14518901705741882,0.022790957242250443,,,,,
8,,849,,,,,,0.15210416913032532,0.22565960884094238,0.10677514225244522,0.14156071841716766,0.020348263904452324,,,,,
8,,854,,,,,,,,,,,0.18724605441093445,0.2523057758808136,0.10629969090223312,0.14039330184459686,0.020149758085608482
,0.001,855,,,,,,,,,,,,,,,
9,,899,,,,,,0.3643109202384949,0.39944082498550415,0.10542003810405731,0.14009423553943634,0.021025659516453743,,,,,
9,,949,,,,,,0.6670011281967163,0.682995080947876,0.1022898331284523,0.13529027998447418,0.02278524823486805,,,,,
9,,949,,,,,,,,,,,0.17907600104808807,0.24144761264324188,0.10177423804998398,0.13461609184741974,0.018523242324590683
,0.001,950,,,,,,,,,,,,,,,
10,,999,,,,,,0.19209547340869904,0.24771428108215332,0.09911522269248962,0.1306222528219223,0.01750517450273037,,,,,
10,,1044,,,,,,,,,,,0.17158615589141846,0.22842609882354736,0.09795036911964417,0.12960125505924225,0.017150307074189186
,0.001,1045,,,,,,,,,,,,,,,
11,,1049,,,,,,0.198276087641716,0.2614823281764984,0.09397056698799133,0.12507833540439606,0.016171874478459358,,,,,
11,,1099,,,,,,0.27529507875442505,0.3173825442790985,0.09296808391809464,0.12279471009969711,0.015935072675347328,,,,,
11,,1139,,,,,,,,,,,0.16635459661483765,0.22066190838813782,0.09494815766811371,0.12576422095298767,0.016145389527082443
,0.001,1140,,,,,,,,,,,,,,,
12,,1149,,,,,,0.9240545034408569,0.9323657751083374,0.08990906178951263,0.11938991397619247,0.022804472595453262,,,,,
12,,1199,,,,,,0.3736494481563568,0.4138946831226349,0.09273246675729752,0.12265463918447495,0.016606807708740234,,,,,
12,,1234,,,,,,,,,,,0.16330522298812866,0.215251162648201,0.09239599108695984,0.12253396213054657,0.015327755361795425
,0.001,1235,,,,,,,,,,,,,,,
13,,1249,,,,,,0.7013490200042725,0.7253590822219849,0.08535634726285934,0.11360038816928864,0.018037455156445503,,,,,
13,,1299,,,,,,0.439420610666275,0.47217613458633423,0.09019681811332703,0.13849680125713348,0.021219052374362946,,,,,
13,,1329,,,,,,,,,,,0.1549837291240692,0.20352552831172943,0.08993323892354965,0.11944364756345749,0.01453834306448698
,0.001,1330,,,,,,,,,,,,,,,
14,,1349,,,,,,0.6748290061950684,0.7178239226341248,0.0979512631893158,0.1452457457780838,0.026038073003292084,,,,,
14,,1399,,,,,,0.2167683094739914,0.26122409105300903,0.08347752690315247,0.10955926775932312,0.012565579265356064,,,,,
14,,1424,,,,,,,,,,,0.15120834112167358,0.1973339468240738,0.08775924146175385,0.11672063916921616,0.013876876793801785
