epoch,lr_schedule,step,test_energy_mae,test_energy_rmse,test_forces_mae,test_forces_rmse,test_loss,train_energy_mae,train_energy_rmse,train_forces_mae,train_forces_rmse,train_loss,val_energy_mae,val_energy_rmse,val_forces_mae,val_forces_rmse,val_loss
,0.001,0,,,,,,,,,,,,,,,
0,,9,,,,,,,,,,,19.871044158935547,19.98703384399414,0.7037054896354675,0.9681695103645325,4.922793865203857
,0.001,10,,,,,,,,,,,,,,,
1,,19,,,,,,,,,,,14.847944259643555,15.005318641662598,0.6947163939476013,0.9563173651695251,3.1569931507110596
,0.001,20,,,,,,,,,,,,,,,
2,,29,,,,,,,,,,,4.821447372436523,5.29196834564209,0.6935301423072815,0.9544095396995544,1.181837797164917
,0.001,30,,,,,,,,,,,,,,,
3,,39,,,,,,,,,,,2.0581860542297363,2.291839599609375,0.6890034675598145,0.9481634497642517,0.9425491094589233
,0.001,40,,,,,,,,,,,,,,,
4,,49,,,,,,5.163837432861328,5.75448751449585,0.6688324809074402,0.9594993591308594,1.242573857307434,,,,,
4,,49,,,,,,,,,,,1.9121164083480835,2.4837429523468018,0.6832489371299744,0.9403273463249207,0.9370631575584412
,0.001,50,,,,,,,,,,,,,,,
5,,59,,,,,,,,,,,2.2506020069122314,2.571070432662964,0.6759697794914246,0.9305200576782227,0.9233129620552063
,0.001,60,,,,,,,,,,,,,,,
6,,69,,,,,,,,,,,1.9309440851211548,2.1397576332092285,0.6658448576927185,0.9169002175331116,0.8780847191810608
,0.001,70,,,,,,,,,,,,,,,
7,,79,,,,,,,,,,,1.8848565816879272,2.107245445251465,0.6509090065956116,0.8968074917793274,0.8406259417533875
,0.001,80,,,,,,,,,,,,,,,
8,,89,,,,,,,,,,,1.9142696857452393,2.111546277999878,0.6262755393981934,0.8634761571884155,0.7827214598655701
,0.001,90,,,,,,,,,,,,,,,
9,,99,,,,,,2.3227291107177734,2.6768932342529297,0.5737419128417969,0.80196613073349,0.7083758115768433,,,,,
9,,99,,,,,,,,,,,1.8768121004104614,2.0677995681762695,0.5894287824630737,0.8109986186027527,0.6938995122909546
,0.001,100,,,,,,,,,,,,,,,
10,,109,,,,,,,,,,,1.7792888879776,1.9582457542419434,0.5489863753318787,0.7482452392578125,0.5926195383071899
,0.001,110,,,,,,,,,,,,,,,
11,,119,,,,,,,,,,,1.658872127532959,1.8302497863769531,0.4930563271045685,0.6684978604316711,0.47591862082481384
,0.001,120,,,,,,,,,,,,,,,
12,,129,,,,,,,,,,,1.5286651849746704,1.7052924633026123,0.4379070997238159,0.5929126739501953,0.37711021304130554
,0.001,130,,,,,,,,,,,,,,,
13,,139,,,,,,,,,,,1.4053758382797241,1.5958596467971802,0.40616750717163086,0.5461409687995911,0.32075491547584534
,0.001,140,,,,,,,,,,,,,,,
14,,149,,,,,,0.7827696800231934,0.9565688371658325,0.36710605025291443,0.4836876094341278,0.24076440930366516,,,,,
14,,149,,,,,,,,,,,1.2699310779571533,1.475958228111267,0.37977278232574463,0.5050225257873535,0.2742817997932434
,0.001,150,,,,,,,,,,,,,,,
15,,159,,,,,,,,,,,1.1415176391601562,1.3358126878738403,0.3554039001464844,0.4682840406894684,0.2349410206079483
,0.001,160,,,,,,,,,,,,,,,
16,,169,,,,,,,,,,,1.0238490104675293,1.2059327363967896,0.3336969017982483,0.4371628165245056,0.20374296605587006
,0.001,170,,,,,,,,,,,,,,,
17,,179,,,,,,,,,,,0.9365865588188171,1.1077176332473755,0.31741514801979065,0.4140549898147583,0.18199750781059265
,0.001,180,,,,,,,,,,,,,,,
18,,189,,,,,,,,,,,0.8642515540122986,1.0241334438323975,0.3036330044269562,0.39513376355171204,0.16505788266658783
,0.001,190,,,,,,,,,,,,,,,
19,,199,,,,,,0.514501690864563,0.6403341889381409,0.2617380917072296,0.3388806879520416,0.11779198795557022,,,,,
19,,199,,,,,,,,,,,0.804577648639679,0.9567167162895203,0.2908876836299896,0.37804192304611206,0.150639608502388
,0.001,200,,,,,,,,,,,,,,,
20,,209,,,,,,,,,,,0.7514147758483887,0.8988008499145508,0.27880996465682983,0.3621249198913574,0.13790152966976166
,0.001,210,,,,,,,,,,,,,,,
21,,219,,,,,,,,,,,0.7025704383850098,0.8415283560752869,0.26750099658966064,0.34733590483665466,0.12651751935482025
,0.001,220,,,,,,,,,,,,,,,
22,,229,,,,,,,,,,,0.6523528099060059,0.785943329334259,0.25723662972450256,0.3339359164237976,0.11657512933015823
,0.001,230,,,,,,,,,,,,,,,
23,,239,,,,,,,,,,,0.6097487807273865,0.7331463098526001,0.2481338530778885,0.32199975848197937,0.1080220639705658
,0.001,240,,,,,,,,,,,,,,,
24,,249,,,,,,0.6925898194313049,0.7910792827606201,0.22975458204746246,0.3026396334171295,0.09693290293216705,,,,,
24,,249,,,,,,,,,,,0.5738403797149658,0.6895425319671631,0.2401319444179535,0.3115959167480469,0.10087579488754272
,0.001,250,,,,,,,,,,,,,,,
25,,259,,,,,,,,,,,0.544312596321106,0.6506097912788391,0.23311704397201538,0.30246829986572266,0.09480512887239456
,0.001,260,,,,,,,,,,,,,,,
26,,269,,,,,,,,,,,0.5286358594894409,0.6211357116699219,0.22664986550807953,0.29412558674812317,0.08950285613536835
,0.001,270,,,,,,,,,,,,,,,
27,,279,,,,,,,,,,,0.5195815563201904,0.6011545062065125,0.22069789469242096,0.28641268610954285,0.0848257765173912
,0.001,280,,,,,,,,,,,,,,,
28,,289,,,,,,,,,,,0.5102695226669312,0.58624666929245,0.21503899991512299,0.279112309217453,0.08056149631738663
,0.001,290,,,,,,,,,,,,,,,
29,,299,,,,,,0.36327582597732544,0.4264560341835022,0.1942276656627655,0.25197961926460266,0.06467743963003159,,,,,
29,,299,,,,,,,,,,,0.49869439005851746,0.5729238986968994,0.20963388681411743,0.27213889360427856,0.07660140097141266
,0.001,300,,,,,,,,,,,,,,,
30,,309,,,,,,,,,,,0.48475325107574463,0.5577867031097412,0.20451165735721588,0.26558348536491394,0.07294051349163055
,0.001,310,,,,,,,,,,,,,,,
31,,319,,,,,,,,,,,0.4733472466468811,0.5466494560241699,0.19970615208148956,0.2594761848449707,0.06964285671710968
,0.001,320,,,,,,,,,,,,,,,
32,,329,,,,,,,,,,,0.4542485177516937,0.526979386806488,0.19517333805561066,0.25373375415802,0.06651409715414047
,0.001,330,,,,,,,,,,,,,,,
33,,339,,,,,,,,,,,0.4332889914512634,0.5056006908416748,0.19087521731853485,0.2483711689710617,0.0636276826262474
,0.001,340,,,,,,,,,,,,,,,
34,,349,,,,,,0.3302997648715973,0.45773646235466003,0.16848206520080566,0.21763598918914795,0.048986997455358505,,,,,
34,,349,,,,,,,,,,,0.4125019907951355,0.48423144221305847,0.18689587712287903,0.24348153173923492,0.06103522330522537
,0.001,350,,,,,,,,,,,,,,,
35,,359,,,,,,,,,,,0.39051687717437744,0.46161067485809326,0.18310071527957916,0.23886758089065552,0.05861799791455269
,0.001,360,,,,,,,,,,,,,,,
36,,369,,,,,,,,,,,0.37628844380378723,0.4450051784515381,0.1794511079788208,0.23450656235218048,0.056423693895339966
,0.001,370,,,,,,,,,,,,,,,
37,,379,,,,,,,,,,,0.36175310611724854,0.42903125286102295,0.17610473930835724,0.23044998943805695,0.054416805505752563
,0.001,380,,,,,,,,,,,,,,,
38,,389,,,,,,,,,,,0.3493780493736267,0.4159758388996124,0.17298704385757446,0.22661416232585907,0.052570804953575134
,0.001,390,,,,,,,,,,,,,,,
39,,399,,,,,,0.18734249472618103,0.2517618238925934,0.1466304361820221,0.19238997995853424,0.03727760538458824,,,,,
39,,399,,,,,,,,,,,0.33620089292526245,0.4021194279193878,0.17005684971809387,0.2229851633310318,0.05084216594696045
,0.001,400,,,,,,,,,,,,,,,
40,,409,,,,,,,,,,,0.3255782723426819,0.391398549079895,0.1673404425382614,0.21958914399147034,0.04926912859082222
,0.001,410,,,,,,,,,,,,,,,
41,,419,,,,,,,,,,,0.3162328004837036,0.380886048078537,0.16476094722747803,0.21637675166130066,0.04780145734548569
,0.001,420,,,,,,,,,,,,,,,
42,,429,,,,,,,,,,,0.3094414472579956,0.37274372577667236,0.16231700778007507,0.213327094912529,0.04644274711608887
,0.001,430,,,,,,,,,,,,,,,
