epoch,lr_schedule,step,test_energy_mae,test_energy_rmse,test_forces_mae,test_forces_rmse,test_loss,train_energy_mae,train_energy_rmse,train_forces_mae,train_forces_rmse,train_loss,val_energy_mae,val_energy_rmse,val_forces_mae,val_forces_rmse,val_loss
,0.001,0,,,,,,,,,,,,,,,
0,,9,,,,,,,,,,,19.212533950805664,19.327136993408203,0.8302034735679626,1.203959584236145,5.170406341552734
,0.001,10,,,,,,,,,,,,,,,
1,,19,,,,,,,,,,,12.054259300231934,12.224432945251465,0.8042292594909668,1.1710054874420166,2.8519089221954346
,0.001,20,,,,,,,,,,,,,,,
2,,29,,,,,,,,,,,4.947544574737549,5.320733547210693,0.7948060631752014,1.1579418182373047,1.6105232238769531
,0.001,30,,,,,,,,,,,,,,,
3,,39,,,,,,,,,,,1.623605489730835,2.3237080574035645,0.7670457363128662,1.1185317039489746,1.2925982475280762
,0.001,40,,,,,,,,,,,,,,,
4,,49,,,,,,2.5359442234039307,3.121307849884033,0.7167795300483704,1.075606346130371,1.2427852153778076,,,,,
4,,49,,,,,,,,,,,1.5890476703643799,1.8716071844100952,0.7183578610420227,1.048324704170227,1.1230238676071167
,0.001,50,,,,,,,,,,,,,,,
5,,59,,,,,,,,,,,1.534938931465149,1.745907187461853,0.6486373543739319,0.9377224445343018,0.9010121822357178
,0.001,60,,,,,,,,,,,,,,,
6,,69,,,,,,,,,,,1.1766178607940674,1.5585814714431763,0.6005652546882629,0.8567469120025635,0.7509669661521912
,0.001,70,,,,,,,,,,,,,,,
7,,79,,,,,,,,,,,1.0855591297149658,1.3680163621902466,0.5523687601089478,0.7825281620025635,0.6249415874481201
,0.001,80,,,,,,,,,,,,,,,
8,,89,,,,,,,,,,,0.9845824241638184,1.2353016138076782,0.5052313208580017,0.7054542899131775,0.5079488754272461
,0.001,90,,,,,,,,,,,,,,,
9,,99,,,,,,0.6218400001525879,0.9029899835586548,0.41616925597190857,0.5638012290000916,0.32284706830978394,,,,,
9,,99,,,,,,,,,,,0.836871325969696,1.0775777101516724,0.4536275565624237,0.6285338401794434,0.4027159810066223
,0.001,100,,,,,,,,,,,,,,,
10,,109,,,,,,,,,,,0.657998263835907,0.877130389213562,0.4013785421848297,0.5501168370246887,0.3072957992553711
,0.001,110,,,,,,,,,,,,,,,
11,,119,,,,,,,,,,,0.5827926397323608,0.7554247379302979,0.3543778955936432,0.4773623049259186,0.23130269348621368
,0.001,120,,,,,,,,,,,,,,,
12,,129,,,,,,,,,,,0.557625412940979,0.7100820541381836,0.31291040778160095,0.4164738953113556,0.17675819993019104
,0.001,130,,,,,,,,,,,,,,,
13,,139,,,,,,,,,,,0.507993757724762,0.6501002311706543,0.27796345949172974,0.367456316947937,0.1379002183675766
,0.001,140,,,,,,,,,,,,,,,
14,,149,,,,,,0.5230512619018555,0.5982565879821777,0.22802041471004486,0.2954798638820648,0.09001438319683075,,,,,
14,,149,,,,,,,,,,,0.49678274989128113,0.6264253854751587,0.25078409910202026,0.3308173716068268,0.1122698113322258
,0.001,150,,,,,,,,,,,,,,,
15,,159,,,,,,,,,,,0.4380606710910797,0.565851092338562,0.23198026418685913,0.305740624666214,0.09574443101882935
,0.001,160,,,,,,,,,,,,,,,
16,,169,,,,,,,,,,,0.4156603515148163,0.5431375503540039,0.21892058849334717,0.28812476992607117,0.08513570576906204
,0.001,170,,,,,,,,,,,,,,,
17,,179,,,,,,,,,,,0.3903571367263794,0.5247036218643188,0.2092033326625824,0.27484697103500366,0.07753858715295792
,0.001,180,,,,,,,,,,,,,,,
18,,189,,,,,,,,,,,0.3707975447177887,0.5105631351470947,0.20158682763576508,0.264466792345047,0.0718500167131424
,0.001,190,,,,,,,,,,,,,,,
19,,199,,,,,,0.5563497543334961,0.5879017114639282,0.17844222486019135,0.2309981733560562,0.05628284439444542,,,,,
19,,199,,,,,,,,,,,0.3766588270664215,0.5100296139717102,0.19531938433647156,0.2556345462799072,0.0672968402504921
,0.001,200,,,,,,,,,,,,,,,
20,,209,,,,,,,,,,,0.3709380328655243,0.506480872631073,0.18962830305099487,0.24778924882411957,0.06335074454545975
,0.001,210,,,,,,,,,,,,,,,
21,,219,,,,,,,,,,,0.36590537428855896,0.5032031536102295,0.1843317449092865,0.24057981371879578,0.059831999242305756
,0.001,220,,,,,,,,,,,,,,,
22,,229,,,,,,,,,,,0.3580029308795929,0.4970471262931824,0.17938315868377686,0.23393742740154266,0.056650012731552124
,0.001,230,,,,,,,,,,,,,,,
23,,239,,,,,,,,,,,0.361039936542511,0.49889469146728516,0.17492744326591492,0.22782328724861145,0.053873371332883835
,0.001,240,,,,,,,,,,,,,,,
24,,249,,,,,,0.49438706040382385,0.5629510283470154,0.17490674555301666,0.222197026014328,0.052046939730644226,,,,,
24,,249,,,,,,,,,,,0.360162615776062,0.4974555969238281,0.1707088053226471,0.22199945151805878,0.05126553401350975
,0.001,250,,,,,,,,,,,,,,,
25,,259,,,,,,,,,,,0.34898635745048523,0.49258244037628174,0.16643504798412323,0.21632120013237,0.0487532839179039
,0.001,260,,,,,,,,,,,,,,,
26,,269,,,,,,,,,,,0.34415411949157715,0.48765018582344055,0.16245263814926147,0.2110624760389328,0.04647992178797722
,0.001,270,,,,,,,,,,,,,,,
27,,279,,,,,,,,,,,0.3391161262989044,0.48360195755958557,0.15844663977622986,0.2058362066745758,0.04428356513381004
,0.001,280,,,,,,,,,,,,,,,
28,,289,,,,,,,,,,,0.3314724266529083,0.4768798053264618,0.1547011435031891,0.20110569894313812,0.04231320694088936
,0.001,290,,,,,,,,,,,,,,,
29,,299,,,,,,0.23454809188842773,0.2955007255077362,0.14282919466495514,0.18320870399475098,0.03410298377275467,,,,,
29,,299,,,,,,,,,,,0.3288302719593048,0.4735604524612427,0.15112818777561188,0.1965324878692627,0.04048136621713638
,0.001,300,,,,,,,,,,,,,,,
30,,309,,,,,,,,,,,0.32892948389053345,0.47086337208747864,0.14779865741729736,0.1922590732574463,0.03881103917956352
,0.001,310,,,,,,,,,,,,,,,
31,,319,,,,,,,,,,,0.3270711600780487,0.4675981402397156,0.14457780122756958,0.1882152259349823,0.037257205694913864
,0.001,320,,,,,,,,,,,,,,,
32,,329,,,,,,,,,,,0.3273454010486603,0.46679404377937317,0.14164723455905914,0.18447425961494446,0.03586940839886665
,0.001,330,,,,,,,,,,,,,,,
33,,339,,,,,,,,,,,0.32335007190704346,0.46299660205841064,0.13906614482402802,0.1812278777360916,0.0346587672829628
,0.001,340,,,,,,,,,,,,,,,
34,,349,,,,,,0.2861793339252472,0.3495847284793854,0.13506145775318146,0.17478418350219727,0.03146611154079437,,,,,
34,,349,,,,,,,,,,,0.31668582558631897,0.4585771858692169,0.13676419854164124,0.17832233011722565,0.03358379751443863
,0.001,350,,,,,,,,,,,,,,,
35,,359,,,,,,,,,,,0.3162260353565216,0.453416645526886,0.1345175951719284,0.1755303144454956,0.03255864605307579
,0.001,360,,,,,,,,,,,,,,,
36,,369,,,,,,,,,,,0.3083035349845886,0.4477042853832245,0.13256748020648956,0.17302167415618896,0.03164152801036835
,0.001,370,,,,,,,,,,,,,,,
37,,379,,,,,,,,,,,0.3084350824356079,0.44507595896720886,0.13077527284622192,0.17076043784618378,0.030848465859889984
,0.001,380,,,,,,,,,,,,,,,
38,,389,,,,,,,,,,,0.3100411593914032,0.441983163356781,0.129216730594635,0.16874031722545624,0.030142053961753845
,0.001,390,,,,,,,,,,,,,,,
39,,399,,,,,,0.3417056202888489,0.47307226061820984,0.12138291448354721,0.15741069614887238,0.026768319308757782,,,,,
39,,399,,,,,,,,,,,0.310403972864151,0.4394058287143707,0.12762705981731415,0.16683705151081085,0.02948703058063984
,0.001,400,,,,,,,,,,,,,,,
40,,409,,,,,,,,,,,0.30811619758605957,0.4358636736869812,0.12627437710762024,0.1651047319173813,0.02888675220310688
,0.001,410,,,,,,,,,,,,,,,
41,,419,,,,,,,,,,,0.30078211426734924,0.43081146478652954,0.12496970593929291,0.16342197358608246,0.02829566039144993
,0.001,420,,,,,,,,,,,,,,,
