epoch,lr_schedule,step,test_energy_mae,test_energy_rmse,test_forces_mae,test_forces_rmse,test_loss,train_energy_mae,train_energy_rmse,train_forces_mae,train_forces_rmse,train_loss,val_energy_mae,val_energy_rmse,val_forces_mae,val_forces_rmse,val_loss
,0.001,0,,,,,,,,,,,,,,,
0,,9,,,,,,,,,,,27.428081512451172,27.511669158935547,0.7071269750595093,0.9881656169891357,8.535626411437988
,0.001,10,,,,,,,,,,,,,,,
1,,19,,,,,,,,,,,16.801868438720703,16.93842124938965,0.7377500534057617,1.0280325412750244,3.915383815765381
,0.001,20,,,,,,,,,,,,,,,
2,,29,,,,,,,,,,,8.911343574523926,9.171937942504883,0.7242305874824524,1.0092319250106812,1.8496079444885254
,0.001,30,,,,,,,,,,,,,,,
3,,39,,,,,,,,,,,2.8851187229156494,3.487301826477051,0.7208893895149231,1.0055112838745117,1.122555136680603
,0.001,40,,,,,,,,,,,,,,,
4,,49,,,,,,2.2215676307678223,2.374314546585083,0.7352029085159302,1.0192621946334839,1.0848801136016846,,,,,
4,,49,,,,,,,,,,,2.121091604232788,2.6610376834869385,0.7106984257698059,0.9920859932899475,1.0452035665512085
,0.001,50,,,,,,,,,,,,,,,
5,,59,,,,,,,,,,,1.9974746704101562,2.3035781383514404,0.7012348175048828,0.9796647429466248,1.003210425376892
,0.001,60,,,,,,,,,,,,,,,
6,,69,,,,,,,,,,,1.9353336095809937,2.1436192989349365,0.6909896731376648,0.9657396674156189,0.9692777395248413
,0.001,70,,,,,,,,,,,,,,,
7,,79,,,,,,,,,,,1.949588418006897,2.2160696983337402,0.6798807978630066,0.9504402875900269,0.9434129595756531
,0.001,80,,,,,,,,,,,,,,,
8,,89,,,,,,,,,,,1.9269018173217773,2.1913251876831055,0.6683126091957092,0.9343696236610413,0.912335216999054
,0.001,90,,,,,,,,,,,,,,,
9,,99,,,,,,1.6223217248916626,1.7953938245773315,0.5974823236465454,0.8455106019973755,0.7399737238883972,,,,,
9,,99,,,,,,,,,,,1.8897861242294312,2.1184067726135254,0.6562874913215637,0.9175434708595276,0.8783436417579651
,0.001,100,,,,,,,,,,,,,,,
10,,109,,,,,,,,,,,1.87953519821167,2.138965606689453,0.6433247923851013,0.8994803428649902,0.8467260599136353
,0.001,110,,,,,,,,,,,,,,,
11,,119,,,,,,,,,,,1.8502925634384155,2.099719524383545,0.629653811454773,0.8803097605705261,0.8112840056419373
,0.001,120,,,,,,,,,,,,,,,
12,,129,,,,,,,,,,,1.8123118877410889,2.036325216293335,0.615092396736145,0.8598230481147766,0.7733690142631531
,0.001,130,,,,,,,,,,,,,,,
13,,139,,,,,,,,,,,1.7734488248825073,1.9793049097061157,0.5996344685554504,0.8379307985305786,0.7342832088470459
,0.001,140,,,,,,,,,,,,,,,
14,,149,,,,,,1.96600341796875,2.098782539367676,0.48976197838783264,0.6860437393188477,0.5099983811378479,,,,,
14,,149,,,,,,,,,,,1.7351809740066528,1.9284837245941162,0.5833849310874939,0.8149589896202087,0.6947071552276611
,0.001,150,,,,,,,,,,,,,,,
15,,159,,,,,,,,,,,1.7051104307174683,1.9061955213546753,0.5665702819824219,0.7909731864929199,0.6557180881500244
,0.001,160,,,,,,,,,,,,,,,
16,,169,,,,,,,,,,,1.6660783290863037,1.8703497648239136,0.5491477847099304,0.7659045457839966,0.6157258152961731
,0.001,170,,,,,,,,,,,,,,,
17,,179,,,,,,,,,,,1.6311722993850708,1.839621901512146,0.5309739112854004,0.7398704290390015,0.5757763385772705
,0.001,180,,,,,,,,,,,,,,,
18,,189,,,,,,,,,,,1.5696640014648438,1.7551653385162354,0.5128395557403564,0.7138389945030212,0.5352765917778015
,0.001,190,,,,,,,,,,,,,,,
19,,199,,,,,,1.3770854473114014,1.4750624895095825,0.40251094102859497,0.5458619594573975,0.31674373149871826,,,,,
19,,199,,,,,,,,,,,1.5214320421218872,1.7081069946289062,0.4948842227458954,0.6876904368400574,0.49736523628234863
,0.001,200,,,,,,,,,,,,,,,
20,,209,,,,,,,,,,,1.473223090171814,1.6671816110610962,0.4771163761615753,0.6622743010520935,0.46201613545417786
,0.001,210,,,,,,,,,,,,,,,
21,,219,,,,,,,,,,,1.4214204549789429,1.6230156421661377,0.46030792593955994,0.6380366086959839,0.42936164140701294
,0.001,220,,,,,,,,,,,,,,,
22,,229,,,,,,,,,,,1.3494595289230347,1.5438761711120605,0.44500812888145447,0.6159337162971497,0.39941611886024475
,0.001,230,,,,,,,,,,,,,,,
23,,239,,,,,,,,,,,1.3145822286605835,1.5230849981307983,0.4307357966899872,0.5956941246986389,0.3745008409023285
,0.001,240,,,,,,,,,,,,,,,
24,,249,,,,,,0.9567882418632507,1.2089303731918335,0.39772847294807434,0.5402165055274963,0.30353063344955444,,,,,
24,,249,,,,,,,,,,,1.255454421043396,1.4644880294799805,0.4185087978839874,0.5778477787971497,0.35201627016067505
,0.001,250,,,,,,,,,,,,,,,
25,,259,,,,,,,,,,,1.1983479261398315,1.4099019765853882,0.40750011801719666,0.5619107484817505,0.3324645161628723
,0.001,260,,,,,,,,,,,,,,,
26,,269,,,,,,,,,,,1.1640797853469849,1.3784091472625732,0.39758485555648804,0.547481119632721,0.31573835015296936
,0.001,270,,,,,,,,,,,,,,,
27,,279,,,,,,,,,,,1.1135377883911133,1.3257464170455933,0.3886280655860901,0.5343407392501831,0.3002409040927887
,0.001,280,,,,,,,,,,,,,,,
